cycle,price_wheat,price_rice,price_corn,price_water,price_labor,price_kernels,alive,deaths,gini_gold,total_money,avg_gold,max_gold,min_gold,avg_food,mean_capitalism,mean_survivalism,mean_sustainability,std_capitalism,std_survivalism,std_sustainability,unit_injected,unit_absorbed,unit_net,unit_processing,unit_kernels,bank_loaned,bank_interest_collected,bank_deposit_interest,landlords,bank_owned_land,foreclosures
378,34.65,3.142,18.364,2.946,1.893,210.0,100,0,0.8294,34477.71,38.28,418.67,-4.0,29.4,0.159,0.041,-0.047,0.207,0.132,0.13,477.08,0.0,477.08,4.0,5199,310.42,116.55,15310.9,76,427,427
379,34.538,3.384,20.543,3.388,1.73,210.0,100,0,0.8574,35154.13,52.96,1562.6,-4.0,27.7,0.155,0.039,-0.048,0.214,0.132,0.134,462.8,231.1,231.7,3.6,5208,338.64,98.02,15453.14,74,427,427
380,33.348,3.287,20.877,2.943,1.654,210.0,100,0,0.8442,31329.23,32.33,378.32,-4.0,26.3,0.142,0.036,-0.043,0.21,0.132,0.135,258.84,1617.0,-1358.16,1.8,5193,360.0,103.49,15616.84,74,428,428
381,34.342,3.563,20.123,2.999,1.747,210.0,100,0,0.8379,30889.31,31.24,417.28,-4.0,27.2,0.143,0.032,-0.035,0.217,0.131,0.133,29.22,0.0,29.22,0.2,5170,317.73,63.01,15776.64,73,428,428
382,37.101,3.513,20.472,3.191,1.772,210.0,100,0,0.8563,31398.01,36.0,620.67,-4.0,27.2,0.129,0.029,-0.034,0.212,0.13,0.137,14.09,0.0,14.09,0.1,5146,336.3,73.66,15931.98,72,428,428
383,37.997,3.496,20.531,3.352,1.912,210.0,100,0,0.8497,28946.88,31.89,517.34,-4.0,31.1,0.13,0.028,-0.03,0.213,0.133,0.138,458.56,463.0,-4.44,3.2,5151,432.58,66.85,16099.55,70,429,429
384,38.31,3.61,19.375,3.181,1.858,210.0,100,0,0.8089,27953.19,29.5,363.8,-4.0,32.4,0.135,0.018,-0.035,0.233,0.128,0.161,718.59,693.0,25.59,5.0,5173,276.91,58.66,16264.65,70,429,429
385,40.953,3.474,18.93,2.823,2.059,210.0,100,0,0.8109,29057.93,42.02,549.74,-4.0,32.2,0.128,0.015,-0.041,0.231,0.128,0.162,881.53,0.0,881.53,6.5,5212,640.0,108.74,16428.57,71,429,429
386,43.335,3.382,19.181,2.838,1.876,204.596,100,0,0.82,29333.54,44.03,603.37,-6.0,33.0,0.132,0.015,-0.039,0.228,0.131,0.162,331.26,233.8,97.46,2.5,5210,870.29,129.02,16598.84,69,430,430
387,45.38,3.425,17.657,2.979,1.932,199.273,100,0,0.8498,29487.94,54.45,1536.07,-4.0,34.4,0.135,0.01,-0.038,0.23,0.132,0.147,590.8,226.06,364.74,4.4,5227,1262.01,169.21,16768.79,70,431,431
388,49.194,3.62,17.002,2.992,2.043,210.0,100,0,0.8359,27381.17,50.38,1468.47,-6.0,34.2,0.129,0.008,-0.039,0.228,0.134,0.143,444.96,657.9,-212.94,3.6,5234,410.0,186.88,16938.56,69,433,433
