cycle,price_wheat,price_rice,price_corn,price_water,price_labor,price_kernels,alive,deaths,gini_gold,total_money,avg_gold,max_gold,min_gold,avg_food,mean_capitalism,mean_survivalism,mean_sustainability,std_capitalism,std_survivalism,std_sustainability,unit_injected,unit_absorbed,unit_net,unit_processing,unit_kernels,bank_loaned,bank_interest_collected,bank_deposit_interest,landlords,bank_owned_land,foreclosures
505,37.412,4.034,21.414,3.509,5.739,210.0,100,0,0.7936,29559.6,48.2,506.0,-2.0,32.7,0.199,0.006,-0.047,0.22,0.163,0.13,692.64,0.0,692.64,4.8,5964,288.89,126.79,55492.22,45,464,464
506,37.694,4.312,21.193,3.654,5.408,210.0,100,0,0.7678,29908.63,46.26,657.75,-4.0,32.9,0.202,0.001,-0.048,0.205,0.166,0.129,284.81,0.0,284.81,1.9,5954,406.42,155.96,56051.81,45,464,464
507,36.61,4.236,18.964,3.372,5.406,210.0,100,0,0.734,30341.32,48.26,622.75,-4.0,32.5,0.203,0.007,-0.049,0.201,0.154,0.126,593.42,0.0,593.42,4.0,5965,331.33,168.73,56617.03,45,464,464
508,36.339,4.242,20.095,3.542,5.464,210.0,100,0,0.7639,27478.52,42.47,555.75,-4.0,36.5,0.212,0.004,-0.045,0.197,0.155,0.139,132.76,0.3,132.46,1.0,5946,416.48,168.59,57192.11,45,464,464
509,34.13,4.328,19.914,3.627,4.879,210.0,100,0,0.7658,26744.31,35.59,421.18,-4.0,36.8,0.204,0.007,-0.048,0.198,0.152,0.135,492.31,1.0,491.31,3.5,5952,230.0,155.18,57773.82,45,464,464
510,31.825,4.279,21.013,3.907,5.32,210.0,100,0,0.8,27728.21,37.71,430.18,-6.0,35.2,0.202,0.007,-0.049,0.198,0.149,0.135,571.54,0.6,570.94,4.1,5964,350.0,105.57,58356.91,45,464,464
511,34.166,4.28,21.124,3.756,6.081,208.255,100,0,0.7718,28690.56,44.7,488.77,-4.0,33.6,0.201,0.009,-0.051,0.197,0.146,0.137,676.62,0.5,676.12,4.6,5980,172.87,122.23,58940.71,45,464,464
512,32.721,4.265,20.966,3.731,5.423,210.0,100,0,0.8028,28990.27,39.44,406.69,-4.0,32.9,0.189,0.01,-0.052,0.195,0.142,0.139,502.76,458.86,43.9,3.4,5982,199.55,104.13,59536.09,45,464,464
513,33.989,4.485,20.846,3.544,5.09,210.0,100,0,0.7748,28494.76,34.42,318.39,-4.0,34.4,0.188,0.014,-0.046,0.193,0.134,0.136,220.14,0.1,220.04,1.5,5968,377.66,123.03,60140.69,45,464,464
514,33.486,4.604,20.762,3.706,5.499,210.0,100,0,0.8083,28189.07,36.25,396.39,-6.0,35.9,0.185,0.02,-0.038,0.181,0.132,0.134,393.98,0.0,393.98,2.7,5966,350.0,159.59,60746.81,45,464,464
515,33.849,4.614,20.406,3.692,5.325,210.0,100,0,0.8246,27513.97,30.86,371.07,-6.0,36.2,0.196,0.019,-0.035,0.175,0.134,0.134,305.19,231.0,74.19,2.1,5957,265.0,135.48,61362.29,45,464,464
516,33.584,4.453,20.546,3.776,5.166,210.0,100,0,0.7999,28137.21,39.64,513.22,-4.0,36.1,0.191,0.023,-0.033,0.173,0.133,0.132,985.59,0.5,985.09,6.9,5996,495.0,144.15,61980.63,45,464,464
517,35.108,4.713,20.494,3.717,5.123,210.0,100,0,0.7732,28490.37,38.55,513.22,-4.0,34.4,0.176,0.035,-0.041,0.193,0.149,0.156,647.18,231.0,416.18,4.5,6010,340.0,146.12,62607.49,45,464,464
518,34.242,4.542,21.117,3.569,5.583,210.0,100,0,0.7705,28359.58,38.55,552.14,-6.0,34.6,0.179,0.036,-0.043,0.193,0.147,0.149,387.35,694.6,-307.25,2.7,6004,900.63,200.33,63237.68,45,464,464
519,34.126,4.536,22.739,3.451,6.078,210.0,100,0,0.7648,28414.52,36.43,553.11,-4.0,34.2,0.189,0.039,-0.047,0.198,0.164,0.162,606.06,0.6,605.46,4.1,6015,215.0,155.31,63878.43,45,464,464
520,34.861,4.675,23.699,3.357,5.166,210.0,100,0,0.7756,28959.66,38.16,500.98,-6.0,33.7,0.18,0.037,-0.047,0.193,0.153,0.148,493.43,0.0,493.43,3.1,6016,280.0,170.75,64521.0,45,464,464
521,33.853,4.535,22.118,3.251,5.05,210.0,100,0,0.7694,28402.78,36.92,317.42,-6.0,36.8,0.169,0.037,-0.042,0.193,0.157,0.153,66.36,0.7,65.66,0.4,5990,200.0,161.12,65168.87,45,464,464
522,34.299,4.244,21.357,3.188,4.971,195.589,100,0,0.7837,29354.03,54.62,995.91,-4.0,35.5,0.164,0.037,-0.037,0.184,0.155,0.143,665.77,0.6,665.17,4.3,6003,520.0,160.13,65812.49,45,464,464
523,31.236,4.571,21.5,3.162,4.702,210.0,100,0,0.7625,29548.18,61.21,958.82,-4.0,35.9,0.154,0.041,-0.039,0.175,0.149,0.141,403.65,3.7,399.95,2.7,6000,808.38,223.45,66473.52,45,464,464
524,32.29,4.47,20.542,3.167,5.129,210.0,100,0,0.8106,29929.29,51.65,894.73,-4.0,34.9,0.149,0.046,-0.038,0.18,0.157,0.14,496.65,0.1,496.55,3.3,6003,50.0,193.13,67150.86,45,464,464
525,34.935,4.54,19.935,3.642,5.589,210.0,100,0,0.7513,30023.47,43.85,490.63,-4.0,36.1,0.145,0.047,-0.036,0.18,0.155,0.139,388.23,0.7,387.53,2.7,6000,363.19,168.01,67836.02,45,464,464
526,35.896,4.588,20.902,3.464,6.085,210.0,100,0,0.7739,30340.28,35.28,461.54,-4.0,33.8,0.146,0.052,-0.037,0.179,0.153,0.134,362.81,231.0,131.81,2.6,5995,388.42,115.31,68526.26,45,464,464
527,35.625,4.621,20.584,3.549,6.143,205.968,100,0,0.7681,29002.27,40.12,513.11,-4.0,37.7,0.137,0.051,-0.045,0.174,0.151,0.129,424.31,0.0,424.31,2.9,5994,318.66,139.26,69212.92,45,464,464
528,34.667,4.446,20.627,3.466,5.612,181.832,100,0,0.7652,28348.93,33.69,316.86,-4.0,37.9,0.141,0.05,-0.049,0.176,0.155,0.145,691.64,453.13,238.51,4.8,6010,65.97,120.97,69912.89,45,464,464
529,37.496,4.428,20.56,3.25,4.77,192.734,100,0,0.7633,28688.54,34.56,298.2,-4.0,39.2,0.142,0.052,-0.053,0.179,0.154,0.137,635.32,0.0,635.32,4.4,6024,250.0,107.46,70618.52,45,464,464
530,36.85,4.74,20.63,3.517,4.267,203.491,100,0,0.8188,30003.65,39.95,755.33,-4.0,36.8,0.141,0.055,-0.048,0.176,0.157,0.144,1165.75,0.0,1165.75,8.1,6075,451.41,209.58,71333.02,45,464,464
531,37.714,4.373,21.28,3.481,4.325,210.0,100,0,0.8152,30581.27,40.12,645.48,-4.0,37.6,0.147,0.049,-0.05,0.172,0.158,0.155,259.92,0.3,259.62,1.8,6063,270.0,114.98,72050.25,45,464,464
532,38.0,4.278,21.681,3.358,4.583,210.0,100,0,0.8263,30878.37,40.33,860.79,-4.0,36.2,0.143,0.046,-0.047,0.173,0.155,0.148,208.54,231.0,-22.46,1.4,6046,417.93,110.19,72772.86,45,464,464
533,39.256,4.224,22.827,3.434,4.801,210.0,100,0,0.846,31531.42,41.59,746.31,-4.0,36.0,0.15,0.046,-0.058,0.176,0.152,0.154,774.03,0.0,774.03,5.1,6067,130.0,100.27,73506.91,45,464,464
534,39.306,4.398,23.592,3.401,4.53,201.852,100,0,0.816,31240.11,42.78,744.29,-2.0,35.8,0.15,0.055,-0.057,0.171,0.166,0.161,271.65,0.0,271.65,1.7,6054,150.0,88.71,74243.96,45,464,464
535,38.893,4.294,22.611,3.239,4.499,207.874,100,0,0.7676,31675.33,40.77,730.3,-2.0,33.6,0.152,0.055,-0.061,0.178,0.163,0.162,82.57,0.2,82.37,0.5,6029,535.0,135.68,74992.94,45,464,464
536,39.148,4.203,24.307,3.333,4.741,210.0,100,0,0.8137,31683.86,38.11,795.46,-3.94,33.3,0.157,0.055,-0.055,0.175,0.162,0.166,284.9,2.0,282.9,1.8,6017,214.77,110.89,75749.02,45,464,464
537,35.756,4.052,24.898,3.3,4.88,210.0,100,0,0.8097,31550.15,40.16,977.01,-3.94,33.4,0.155,0.052,-0.056,0.175,0.16,0.172,527.48,0.3,527.18,3.1,6018,339.42,102.51,76511.67,45,464,464
538,36.766,4.234,24.121,3.249,4.859,210.0,100,0,0.8056,31497.73,42.37,958.57,-4.0,33.6,0.147,0.043,-0.045,0.184,0.169,0.188,383.44,0.0,383.44,2.2,6010,335.0,90.96,77280.44,45,464,464
539,39.714,4.286,25.291,3.34,4.584,210.0,100,0,0.8013,29797.53,41.34,940.12,-4.0,34.1,0.161,0.051,-0.054,0.184,0.188,0.198,540.34,0.0,540.34,3.2,6012,190.0,97.78,78060.58,45,464,464
540,37.802,4.244,23.511,3.259,4.541,210.0,100,0,0.8186,29747.35,33.12,513.17,-4.0,32.5,0.151,0.054,-0.063,0.185,0.181,0.178,655.04,924.0,-268.96,3.7,6015,170.0,174.19,78846.28,45,464,464
541,38.651,4.171,24.827,3.313,4.389,210.0,100,0,0.8131,29602.62,33.27,497.87,-4.0,32.4,0.153,0.05,-0.066,0.188,0.171,0.174,427.91,0.0,427.91,2.6,6011,298.35,91.34,79640.72,45,464,464
542,38.755,4.217,24.568,3.241,4.619,210.0,100,0,0.8079,29714.17,34.52,495.87,-4.0,31.1,0.143,0.051,-0.063,0.193,0.17,0.175,486.61,231.0,255.61,2.8,6008,387.19,98.12,80440.96,45,464,464
543,37.445,4.255,24.062,3.179,4.522,205.968,100,0,0.7604,28171.84,42.12,385.54,-4.0,33.9,0.148,0.053,-0.068,0.199,0.156,0.17,619.13,462.0,157.13,3.6,6012,595.81,142.38,81243.35,45,464,464
544,38.112,4.133,23.758,3.199,5.2,210.0,100,0,0.771,29115.88,43.08,381.92,-4.0,32.5,0.146,0.056,-0.062,0.197,0.151,0.159,741.1,0.0,741.1,4.4,6026,250.0,128.86,82063.12,45,464,464
545,35.905,4.122,22.966,3.214,4.986,210.0,100,0,0.7358,29184.75,42.79,380.12,-4.0,31.1,0.141,0.056,-0.068,0.195,0.15,0.156,532.2,0.0,532.2,3.2,6028,250.0,124.59,82890.01,45,464,464
546,37.201,4.232,24.123,3.506,4.909,205.466,100,0,0.8009,29602.74,41.43,450.27,-6.0,30.8,0.148,0.066,-0.075,0.2,0.159,0.155,626.96,0.0,626.96,3.9,6037,157.51,114.08,83726.57,45,464,464
547,37.151,4.364,22.716,3.48,5.352,210.0,100,0,0.8291,30244.19,44.78,796.27,-6.0,31.4,0.146,0.065,-0.078,0.203,0.158,0.158,742.98,0.0,742.98,4.4,6051,520.0,101.04,84572.21,45,464,464
548,36.667,4.128,24.092,3.445,5.62,210.0,100,0,0.813,28791.06,43.02,792.27,-6.0,31.6,0.155,0.064,-0.081,0.205,0.154,0.16,111.3,0.0,111.3,0.7,6028,430.0,109.28,85424.14,45,464,464
549,37.841,4.004,23.79,3.395,5.457,210.0,100,0,0.8013,28419.14,47.76,850.78,-6.0,31.1,0.15,0.061,-0.082,0.205,0.149,0.164,472.19,924.0,-451.81,2.8,6022,576.0,96.99,86273.76,45,464,464
550,36.064,4.079,25.025,3.36,5.847,210.0,100,0,0.7734,28632.91,51.13,848.56,-6.0,32.7,0.141,0.063,-0.08,0.211,0.151,0.162,799.33,0.0,799.33,4.8,6040,493.8,129.37,87144.69,45,464,464
551,36.883,3.843,23.054,3.185,5.79,205.968,100,0,0.7996,30138.79,63.93,856.18,-5.25,29.9,0.14,0.064,-0.078,0.21,0.15,0.162,875.84,1.3,874.54,5.0,6060,772.69,120.15,88016.05,45,464,464
552,38.825,3.903,23.659,3.169,5.704,206.054,100,0,0.8025,28768.69,61.26,715.44,-5.25,32.4,0.126,0.063,-0.085,0.211,0.149,0.163,145.24,0.0,145.24,0.9,6039,594.38,173.07,88904.44,45,464,464
553,33.87,4.046,22.919,3.27,5.368,210.0,100,0,0.7851,30229.89,67.4,828.2,-3.05,30.9,0.121,0.065,-0.087,0.211,0.149,0.162,927.41,227.66,699.75,5.6,6064,945.05,202.35,89801.57,45,464,464
554,35.62,4.055,22.546,2.78,4.774,207.254,100,0,0.7622,29345.54,59.86,583.41,-4.0,31.6,0.113,0.065,-0.081,0.206,0.147,0.154,625.68,693.0,-67.32,3.9,6070,387.75,146.13,90707.68,45,464,464
555,35.455,4.371,23.156,2.977,4.739,210.0,100,0,0.7464,27830.0,57.01,514.19,-4.0,34.0,0.128,0.065,-0.093,0.211,0.145,0.163,678.62,683.94,-5.32,4.3,6080,725.0,157.66,91623.75,45,464,464
556,33.202,4.142,23.453,3.127,4.936,185.388,100,0,0.7842,28107.76,47.68,536.76,-6.0,32.8,0.136,0.061,-0.101,0.21,0.141,0.158,194.52,232.0,-37.48,1.2,6061,853.95,169.28,92555.35,45,464,464
557,32.738,4.177,24.012,2.962,4.561,200.016,100,0,0.7611,29472.25,52.94,418.73,-6.0,32.5,0.133,0.061,-0.097,0.208,0.136,0.156,1083.53,0.0,1083.53,6.6,6097,545.03,176.11,93489.83,45,464,464
558,33.495,4.186,23.794,3.219,4.977,210.0,100,0,0.7695,30341.18,58.3,666.62,-6.0,31.8,0.127,0.062,-0.094,0.215,0.136,0.156,991.67,220.02,771.65,5.9,6125,558.08,211.43,94429.76,45,464,464
559,34.728,4.145,22.614,3.274,5.425,210.0,100,0,0.7923,30389.94,54.46,656.3,-6.0,31.3,0.123,0.063,-0.089,0.222,0.136,0.142,599.62,231.0,368.62,3.6,6130,204.07,195.81,95380.92,45,464,464
560,35.392,4.037,21.517,3.455,4.845,205.968,100,0,0.7787,30352.73,45.97,420.28,-3.13,32.2,0.135,0.058,-0.092,0.216,0.138,0.147,411.58,0.1,411.48,2.6,6126,409.6,236.82,96348.54,45,464,464
561,33.721,3.84,21.973,3.634,4.571,210.0,100,0,0.7674,30300.58,44.08,411.48,-4.0,30.8,0.129,0.058,-0.088,0.215,0.139,0.146,210.86,0.0,210.86,1.4,6110,191.98,144.92,97316.08,45,464,464
562,32.154,3.95,21.359,3.451,4.092,210.0,100,0,0.7843,30880.7,39.08,407.94,-4.0,32.0,0.134,0.058,-0.087,0.214,0.139,0.147,399.9,231.0,168.9,2.6,6105,435.96,114.07,98299.05,45,464,464
563,30.288,4.135,21.898,3.44,4.204,206.47,100,0,0.7783,30794.54,36.74,347.15,-4.0,30.2,0.132,0.056,-0.086,0.218,0.141,0.143,284.06,1.0,283.06,1.9,6094,230.69,106.25,99287.6,45,464,464
564,31.523,3.902,22.913,3.427,4.386,210.0,100,0,0.8204,31784.96,36.58,455.6,-4.0,29.2,0.129,0.054,-0.082,0.217,0.142,0.14,751.13,0.0,751.13,4.9,6113,138.24,107.52,100287.76,45,464,464
565,30.047,4.187,23.341,3.23,3.928,210.0,100,0,0.7926,32036.81,35.18,387.2,-4.0,29.8,0.117,0.056,-0.081,0.21,0.139,0.138,240.59,0.0,240.59,1.5,6098,679.73,160.36,101299.6,45,464,464
566,29.074,4.113,24.153,3.166,4.294,210.0,100,0,0.8353,32182.08,37.54,479.99,-6.0,30.3,0.117,0.057,-0.08,0.201,0.138,0.137,310.44,0.0,310.44,1.9,6087,235.5,80.11,102314.71,45,464,464
567,29.606,4.071,25.048,3.27,4.268,210.0,100,0,0.8476,32503.7,40.88,656.14,-4.0,30.6,0.118,0.051,-0.078,0.204,0.139,0.142,405.76,231.5,174.26,2.4,6080,826.03,137.08,103343.2,45,464,464
568,31.261,4.129,24.416,3.109,4.034,210.0,100,0,0.8587,32429.8,37.32,646.02,-4.0,31.0,0.125,0.049,-0.082,0.207,0.139,0.144,333.14,1.3,331.84,1.9,6069,150.33,147.42,104383.41,45,464,464
569,29.508,3.918,24.806,3.203,4.554,210.0,100,0,0.861,32328.72,37.69,730.68,-4.0,32.4,0.118,0.048,-0.08,0.195,0.134,0.142,341.83,0.0,341.83,2.0,6059,310.06,100.66,105432.63,45,464,464
570,32.755,4.25,24.828,3.281,4.269,210.0,100,0,0.8354,30798.26,45.21,708.65,-4.0,34.5,0.124,0.042,-0.078,0.195,0.126,0.149,295.18,0.2,294.98,1.7,6046,457.4,110.06,106485.7,45,464,464
571,33.222,3.782,25.294,3.415,4.327,210.0,100,0,0.8629,30873.74,56.79,983.12,-4.0,34.4,0.135,0.041,-0.083,0.186,0.125,0.15,1181.84,462.0,719.84,6.8,6082,800.19,114.18,107547.19,45,464,464
572,29.555,3.719,26.104,3.288,4.187,210.0,100,0,0.8673,32559.07,67.07,1438.99,-4.0,32.6,0.133,0.04,-0.083,0.183,0.119,0.148,566.6,0.0,566.6,3.2,6084,1103.29,146.35,108626.68,45,464,464
573,28.145,3.9,25.844,3.265,4.482,210.0,100,0,0.873,30887.66,56.78,1394.86,-4.0,33.4,0.12,0.041,-0.082,0.19,0.134,0.164,310.64,462.1,-151.46,1.7,6069,250.0,122.56,109723.37,45,464,464
574,25.654,4.094,24.491,3.517,4.572,210.0,100,0,0.896,30489.74,53.64,1300.72,-4.0,33.2,0.133,0.039,-0.085,0.189,0.129,0.166,488.46,0.0,488.46,2.7,6066,312.81,131.24,110830.32,45,464,464
575,26.91,3.898,23.625,3.338,4.541,210.0,100,0,0.848,30767.38,47.48,613.95,-4.0,32.6,0.136,0.037,-0.085,0.184,0.129,0.164,737.19,231.3,505.89,4.3,6078,370.0,128.31,111950.03,45,464,464
576,28.484,4.204,25.414,3.435,4.192,210.0,100,0,0.8371,30680.27,44.9,548.2,-4.0,32.8,0.132,0.032,-0.08,0.182,0.124,0.157,297.67,231.5,66.17,1.8,6065,190.07,194.78,113072.13,45,464,464
577,27.987,4.311,24.585,3.465,4.556,197.861,100,0,0.8472,30498.38,39.62,533.44,-4.0,33.4,0.137,0.038,-0.083,0.186,0.123,0.16,338.01,0.0,338.01,1.9,6054,0.0,92.27,114209.85,45,464,464
578,29.437,4.214,22.955,3.078,4.614,210.0,100,0,0.8486,30303.37,33.72,517.69,-4.0,33.0,0.137,0.037,-0.087,0.185,0.123,0.156,585.11,655.54,-70.43,3.4,6055,150.0,113.26,115357.71,45,464,464
579,29.505,4.156,24.676,3.402,4.376,210.0,100,0,0.8241,29341.02,41.27,451.93,-4.0,35.5,0.125,0.034,-0.09,0.198,0.125,0.16,931.96,231.1,700.86,5.8,6082,414.51,122.06,116514.51,45,464,464
580,29.845,4.012,25.314,3.396,4.146,210.0,100,0,0.8116,29078.12,43.72,572.82,-4.0,36.1,0.121,0.034,-0.087,0.191,0.124,0.164,518.18,0.4,517.78,3.0,6082,290.0,79.58,117684.64,45,464,464
581,26.903,4.357,25.109,3.321,3.92,210.0,100,0,0.7954,29752.73,54.99,683.45,-6.0,36.4,0.117,0.038,-0.086,0.19,0.136,0.163,903.72,0.0,903.72,5.1,6103,310.0,76.64,118861.75,45,464,464
582,26.985,4.347,25.329,3.156,4.094,210.0,100,0,0.8274,29568.01,56.54,1140.09,-6.0,36.9,0.12,0.033,-0.089,0.19,0.131,0.167,492.14,0.5,491.64,2.8,6101,620.0,84.9,120059.24,45,464,464
583,26.309,4.268,24.824,3.279,4.129,210.0,100,0,0.8478,28943.38,63.67,1646.42,-6.0,38.0,0.107,0.036,-0.094,0.195,0.15,0.192,443.25,1.2,442.05,2.5,6096,246.76,141.82,121257.87,45,464,464
584,26.648,4.061,22.949,3.243,4.106,210.0,100,0,0.8318,29052.5,62.34,1594.51,-6.0,37.7,0.105,0.042,-0.103,0.198,0.152,0.188,469.18,0.0,469.18,2.7,6093,300.0,142.27,122478.19,45,464,464
585,25.551,3.906,22.861,3.256,4.486,210.0,100,0,0.8191,28467.01,63.78,1542.61,-6.0,38.5,0.104,0.039,-0.095,0.212,0.162,0.185,915.64,0.0,915.64,5.7,6120,234.87,134.26,123711.62,45,464,464
586,25.404,3.915,21.479,2.91,4.456,210.0,100,0,0.8019,27717.75,60.92,1506.7,-6.0,40.3,0.102,0.035,-0.1,0.211,0.163,0.186,688.13,4.2,683.93,4.3,6133,346.57,168.16,124960.06,45,464,464
587,25.432,3.917,21.922,3.09,4.689,210.0,100,0,0.7821,28037.74,50.23,931.8,-4.0,38.5,0.104,0.033,-0.107,0.203,0.149,0.179,345.8,231.6,114.2,2.3,6125,243.13,174.1,126221.27,45,464,464
588,25.127,3.899,22.248,3.171,4.948,210.0,100,0,0.8433,29559.11,57.07,2280.16,-4.0,38.2,0.104,0.035,-0.104,0.201,0.149,0.164,352.95,463.1,-110.15,2.3,6116,1680.0,206.5,127489.57,45,464,464
589,25.86,4.007,22.981,3.238,5.2,210.0,100,0,0.838,29468.86,47.55,1618.52,-4.0,39.1,0.107,0.035,-0.104,0.197,0.148,0.165,0.0,0.0,0.0,0.0,6086,216.1,208.84,128773.91,45,464,464
590,24.069,4.049,22.906,3.457,5.083,210.0,100,0,0.7958,27983.44,23.66,276.07,-4.0,38.1,0.113,0.036,-0.102,0.194,0.146,0.163,353.91,1849.0,-1495.09,2.2,6070,150.0,59.03,130071.02,45,464,464
591,24.308,3.949,21.221,3.612,5.539,210.0,100,0,0.8114,28678.68,26.46,367.34,-4.0,38.4,0.115,0.035,-0.101,0.196,0.14,0.157,801.7,0.4,801.3,5.0,6090,70.0,38.98,131377.13,45,464,464
592,25.147,4.244,22.415,3.411,5.669,198.324,100,0,0.795,28207.94,27.68,363.34,-5.89,38.1,0.126,0.035,-0.098,0.198,0.138,0.154,579.36,0.0,579.36,3.9,6099,240.0,55.26,132697.35,45,464,464
593,26.607,4.214,22.453,3.518,6.171,210.0,100,0,0.7802,27324.35,26.12,337.34,-5.89,38.4,0.121,0.034,-0.105,0.196,0.135,0.146,470.7,218.16,252.54,3.0,6098,210.0,57.4,134029.83,45,464,464
594,26.889,3.989,23.48,3.549,6.712,210.0,100,0,0.7929,27775.88,22.33,353.77,-6.0,36.8,0.114,0.034,-0.103,0.194,0.131,0.142,251.48,0.8,250.68,1.6,6084,100.0,82.34,135375.9,45,464,464
595,24.996,3.907,24.3,3.37,6.638,210.0,100,0,0.835,28124.68,34.85,869.46,-6.0,36.3,0.109,0.035,-0.105,0.193,0.126,0.139,262.98,0.0,262.98,1.6,6070,300.0,217.75,136720.18,45,464,464
596,24.576,4.023,21.321,3.393,7.216,202.78,100,0,0.8249,28153.66,35.17,656.92,-5.89,35.6,0.107,0.032,-0.107,0.193,0.125,0.139,68.04,0.2,67.84,0.4,6044,579.0,207.9,138091.21,45,464,464
597,24.858,4.187,21.073,3.48,7.24,210.0,100,0,0.8327,28001.64,31.52,522.22,-5.89,34.5,0.103,0.036,-0.107,0.188,0.126,0.134,253.74,0.4,253.34,1.7,6031,215.54,203.07,139477.03,45,464,464
598,26.687,4.111,22.025,3.356,6.833,210.0,100,0,0.8299,28676.38,36.08,979.37,-5.89,35.2,0.113,0.034,-0.11,0.19,0.125,0.139,457.29,0.0,457.29,3.1,6032,920.0,242.11,140877.77,45,464,464
599,27.547,3.826,23.278,2.966,6.087,210.0,100,0,0.841,27563.29,29.39,936.53,-5.89,34.6,0.113,0.033,-0.106,0.19,0.124,0.135,30.83,232.0,-201.17,0.2,6003,80.0,107.79,142290.56,45,464,464
600,28.374,4.081,22.856,2.808,6.025,210.0,100,0,0.8317,27016.1,26.28,492.68,-5.89,34.8,0.107,0.032,-0.11,0.196,0.127,0.131,342.2,0.0,342.2,2.1,5994,109.6,79.27,143720.33,45,464,464
601,26.548,3.852,21.493,2.643,5.965,210.0,100,0,0.8222,28481.16,38.83,770.59,-2.0,34.2,0.099,0.035,-0.107,0.204,0.129,0.127,719.96,0.0,719.96,4.5,6009,939.64,110.13,145160.26,45,464,464
602,28.113,3.626,20.168,2.612,5.337,210.0,100,0,0.8048,29733.83,45.16,604.01,-4.0,31.7,0.104,0.037,-0.104,0.196,0.129,0.121,1173.49,0.0,1173.49,7.8,6057,0.0,120.81,146615.56,45,464,464
603,28.024,3.984,21.14,2.694,5.615,210.0,100,0,0.78,29217.77,44.47,543.43,-4.0,31.7,0.106,0.039,-0.109,0.191,0.128,0.12,254.13,0.0,254.13,1.8,6045,510.0,138.08,148088.23,45,464,464
604,29.053,4.078,20.063,2.663,5.453,210.0,100,0,0.7986,27320.71,32.75,429.08,-4.0,32.7,0.103,0.044,-0.101,0.185,0.13,0.114,29.6,462.8,-433.2,0.2,6015,200.0,118.98,149576.59,45,464,464
605,29.631,4.125,19.663,2.884,5.938,210.0,100,0,0.7812,26361.37,37.67,458.58,-4.0,33.0,0.102,0.049,-0.099,0.179,0.134,0.113,702.2,231.2,471.0,5.0,6034,287.94,100.15,151073.77,45,464,464
606,29.904,4.388,19.782,2.92,6.17,210.0,100,0,0.807,26382.39,32.14,362.4,-4.0,32.2,0.111,0.054,-0.102,0.185,0.133,0.113,82.58,0.7,81.88,0.6,6010,250.19,82.3,152592.29,45,464,464
607,30.432,4.094,20.043,2.942,6.135,210.0,100,0,0.7696,27332.09,35.27,380.49,-3.41,31.1,0.107,0.047,-0.105,0.196,0.143,0.13,553.87,0.0,553.87,4.0,6020,624.57,115.33,154125.71,45,464,464
608,30.9,4.093,20.499,2.96,5.471,210.0,100,0,0.8065,27335.73,33.89,329.49,-5.41,31.0,0.116,0.045,-0.103,0.198,0.14,0.127,589.26,0.0,589.26,4.2,6032,138.34,81.18,155673.89,45,464,464
609,28.735,3.898,21.4,2.931,5.958,199.108,100,0,0.8065,28159.85,41.95,415.93,-5.41,29.9,0.12,0.047,-0.101,0.193,0.139,0.126,990.09,0.0,990.09,6.9,6071,211.39,107.97,157232.86,45,464,464
610,28.002,3.998,21.621,2.957,6.316,195.294,100,0,0.7848,27571.43,39.31,414.93,-5.41,29.5,0.12,0.048,-0.098,0.192,0.136,0.12,224.7,0.0,224.7,1.5,6056,250.98,95.22,158811.22,45,464,464
611,26.745,3.966,21.695,2.995,5.631,206.708,100,0,0.7695,25478.38,32.09,311.89,-5.41,31.1,0.113,0.049,-0.098,0.197,0.15,0.124,317.82,214.82,103.0,2.1,6046,347.72,80.21,160410.47,45,464,464
612,27.303,4.176,20.764,3.232,6.309,210.0,100,0,0.7976,25847.96,28.54,335.34,-5.41,30.5,0.11,0.05,-0.1,0.199,0.146,0.119,546.7,0.1,546.6,3.6,6052,238.38,86.02,162024.58,45,464,464
613,27.64,4.023,19.988,3.115,6.324,210.0,100,0,0.7824,26350.2,28.92,283.34,-5.41,31.1,0.118,0.052,-0.101,0.184,0.142,0.124,465.12,0.0,465.12,3.2,6054,275.0,78.18,163650.14,45,464,464
614,27.571,4.077,21.461,2.963,6.169,210.0,100,0,0.7881,27106.18,31.93,417.5,-5.41,30.3,0.111,0.054,-0.097,0.186,0.14,0.124,181.9,1.4,180.5,1.3,6037,850.68,136.9,165291.4,45,464,464
615,27.453,4.267,21.243,3.127,6.71,210.0,100,0,0.7881,26382.63,27.51,260.96,-7.41,31.1,0.106,0.053,-0.096,0.184,0.139,0.123,30.05,1.6,28.45,0.2,6009,120.0,122.67,166948.57,45,464,464
616,29.177,4.203,21.314,3.086,5.978,210.0,100,0,0.8113,26708.46,28.07,342.62,-4.0,30.5,0.11,0.051,-0.095,0.179,0.141,0.117,386.62,0.2,386.42,2.6,6005,251.84,120.58,168622.31,45,464,464
617,31.533,4.364,20.474,3.123,6.504,210.0,100,0,0.8206,25890.39,23.16,340.58,-4.0,31.5,0.118,0.053,-0.097,0.175,0.143,0.116,74.6,0.6,74.0,0.5,5980,260.0,93.04,170315.91,45,464,464
618,30.514,4.661,20.611,3.035,7.071,210.0,100,0,0.8384,26221.02,16.94,247.4,-4.0,30.6,0.109,0.056,-0.098,0.174,0.145,0.117,43.0,0.0,43.0,0.3,5954,239.31,70.97,172027.01,45,464,464
